school_year,num_of_sems,country,university,department
2021,2,Japan,Tokyo University of Foreign Studies,Department of Japanese Language and Literature
2021,1,France,Sorbonne Paris North University,Department of Foreign Languages and Literatures
2021,2,Japan,Hokkaido University,Department of Geography
2021,2,Japan,Waseda University,Department of Japanese Language and Literature
2021,2,Slovenia,University of Ljubljana,Department of Chinese Literature
2021,2,UK,University of Sussex,Department of History
2021,2,Netherlands,VU University Amsterdam,Department of Drama and Theatre
2021,2,Netherlands,Radboud University Nijmegen,Department of Political Science
2021,2,Japan,Aoyama Gakuin University,Department of Political Science
2021,2,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Political Science
2021,2,Portugal,University of Porto,Department of Political Science
2021,2,Norway,University of Oslo,Department of Economics
2021,2,Australia,The Australian National University,Department of Forestry and Resource Conservation
2021,1,Netherlands,Leiden University,Department of Bio-Industry Communication and Development
2021,1,Canada,Université Laval,Department of Bio-Industry Communication and Development
2021,2,Japan,Akita International University,Department of International Business
2021,1,Italy,Catholic University of the Sacred Heart,Department of Bio-Industry Communication and Development
2021,2,Canada,Simon Fraser University (SFU),Department of Chinese Literature
2021,2,Germany,Ludwig Maximilian University of Munich,Department of Accounting
2021,2,France,University of Paris Ouest - Nanterre La Défense,Department of Foreign Languages and Literatures
2021,2,Australia,The University of Queensland,Department of Foreign Languages and Literatures
2021,1,Italy,Catholic University of the Sacred Heart,Department of Foreign Languages and Literatures
2021,2,US,University of California,Department of Physics
2021,2,US,University of Maryland (UMD),Department of Physics
2021,2,Japan,University of Tokyo,Department of Physics
2021,2,Sweden,Umeå University,Department of Agricultural Chemistry
2021,1,Sweden,Lund University,Department of Political Science
2021,2,Finland,University of Helsinki,Department of Economics
2021,1,Sweden,Uppsala University,Department of Sociology
2021,2,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Political Science
2021,2,South Korea,Ewha Womans University,Department of Social Work
2021,1,Netherlands,Maastricht University,Department of Clinical Laboratory Sciences and Medical Biotechnology
2021,1,US,The California State University (CSU),Department of Computer Science and Information Engineering
2021,2,Japan,University of Tsukuba,Department of Agricultural Economics
2021,1,Sweden,Linköping University,Department of Agricultural Economics
2021,2,Netherlands,University of Groningen,Department of Bio-Industry Communication and Development
2021,2,US,Temple University,Department of Accounting
2021,1,US,The California State University (CSU),Department of Accounting
2021,2,France,Institut d’Études Politiques de Paris (Sciences Po),Department of Accounting
2021,1,US,Temple University,Department of Accounting
